poverty_female,poverty_male,poverty_family,Year
35.0,24.0,11.0,2018
60.0,0.0,14.0,2018
0.0,0.0,0.0,2018
424.0,476.0,85.0,2018
12.0,57.0,9.0,2018
202.0,286.0,48.0,2018
192.0,89.0,57.0,2018
110.0,50.0,20.0,2018
0.0,0.0,0.0,2018
97.0,75.0,32.0,2018
177.0,165.0,45.0,2018
21.0,26.0,0.0,2018
274.0,119.0,30.0,2018
743.0,605.0,308.0,2018
80.0,42.0,0.0,2018
176.0,80.0,44.0,2018
0.0,0.0,0.0,2018
1260.0,1100.0,353.0,2018
14.0,27.0,0.0,2018
295.0,189.0,100.0,2018
289.0,259.0,123.0,2018
325.0,131.0,83.0,2018
153.0,32.0,63.0,2018
0.0,0.0,0.0,2018
135.0,164.0,117.0,2018
221.0,231.0,95.0,2018
8.0,9.0,0.0,2018
243.0,107.0,82.0,2018
0.0,0.0,0.0,2018
35.0,88.0,26.0,2018
376.0,137.0,91.0,2018
90.0,104.0,22.0,2018
0.0,0.0,0.0,2018
218.0,153.0,80.0,2018
490.0,411.0,164.0,2018
8.0,21.0,0.0,2018
0.0,0.0,0.0,2018
6.0,6.0,0.0,2018
222.0,165.0,82.0,2018
135.0,90.0,44.0,2018
118.0,207.0,27.0,2018
57.0,0.0,0.0,2018
412.0,274.0,108.0,2018
0.0,0.0,0.0,2018
451.0,173.0,62.0,2018
35.0,21.0,19.0,2018
225.0,140.0,18.0,2018
20.0,50.0,0.0,2018
0.0,0.0,0.0,2018
24.0,62.0,0.0,2018
17.0,12.0,0.0,2018
0.0,0.0,0.0,2018
434.0,169.0,122.0,2018
271.0,179.0,87.0,2018
165.0,71.0,73.0,2018
1988.0,1915.0,784.0,2018
0.0,0.0,0.0,2018
38.0,64.0,26.0,2018
124.0,141.0,48.0,2018
318.0,249.0,132.0,2018
743.0,439.0,239.0,2018
2799.0,2318.0,1078.0,2018
3145.0,2252.0,1014.0,2018
1173.0,1554.0,661.0,2018
2093.0,1717.0,953.0,2018
86.0,141.0,18.0,2018
